City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Schleswig,DE,54.5167,9.55,70.79,84,80,8.05,broken clouds
1,Thompson,CA,55.7435,-97.8558,62.76,42,20,10.36,few clouds
2,Rikitea,PF,-23.1203,-134.9692,70.65,67,38,6.42,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,37.06,75,40,20.71,scattered clouds
4,Karachi,PK,24.9056,67.0822,84.02,79,75,18.41,broken clouds
5,Bluff,NZ,-46.6,168.3333,46.8,87,100,4.81,moderate rain
6,Pisco,PE,-13.7,-76.2167,66.25,72,0,9.22,clear sky
7,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,93,90,17.27,light rain
8,Adrar,MR,20.5022,-10.0711,100.99,7,17,8.79,few clouds
9,Punta Arenas,CL,-53.15,-70.9167,41.11,60,0,14.97,clear sky
10,Alice Springs,AU,-23.7,133.8833,53.15,37,40,6.91,scattered clouds
11,Cidreira,BR,-30.1811,-50.2056,68.14,67,0,10.83,clear sky
12,Mildura,AU,-34.2,142.15,48.16,100,40,6.91,scattered clouds
13,East London,ZA,-33.0153,27.9116,59.49,46,4,7.78,clear sky
14,Nikolskoye,RU,59.7035,30.7861,67.89,70,24,2.53,few clouds
15,Cayenne,GF,4.9333,-52.3333,78.84,90,0,2.3,heavy intensity rain
16,Castro,BR,-24.7911,-50.0119,65.03,61,2,3.85,clear sky
17,Busselton,AU,-33.65,115.3333,58.08,65,8,20.58,clear sky
18,Codrington,AU,-38.2667,141.9667,50.04,94,73,14.32,broken clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,53.62,58,90,4.0,overcast clouds
20,Labrea,BR,-7.2586,-64.7981,98.2,26,87,2.8,overcast clouds
21,Olafsvik,IS,64.8945,-23.7142,49.75,91,72,17.34,light rain
22,Gayeri,BF,12.6497,0.4931,82.62,61,80,6.85,light rain
23,Saskylakh,RU,71.9167,114.0833,55.15,68,85,13.8,overcast clouds
24,Tilichiki,RU,60.4667,166.1,53.22,98,100,4.14,overcast clouds
25,Kurilsk,RU,45.2333,147.8833,62.13,86,3,6.71,clear sky
26,Puerto Ayora,EC,-0.7393,-90.3518,80.56,82,35,10.0,scattered clouds
27,New Norfolk,AU,-42.7826,147.0587,43.88,68,47,3.0,scattered clouds
28,Mataura,NZ,-46.1927,168.8643,46.47,92,100,3.38,moderate rain
29,Ponta Pora,BR,-22.5361,-55.7256,85.91,30,0,13.8,clear sky
30,Tiksi,RU,71.6872,128.8694,48.25,81,100,6.38,overcast clouds
31,Hobart,AU,-42.8794,147.3294,44.22,71,20,5.01,few clouds
32,Namibe,AO,-15.1961,12.1522,66.6,87,0,4.92,clear sky
33,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,40,5.75,scattered clouds
34,Aklavik,CA,68.2191,-135.0107,54.43,67,100,19.15,overcast clouds
35,Port Alfred,ZA,-33.5906,26.891,61.18,43,58,11.21,broken clouds
36,Banepa,NP,27.6298,85.5214,68.32,100,75,2.3,broken clouds
37,Aksarka,RU,66.5606,67.7975,44.08,85,2,9.1,clear sky
38,Kapaa,US,22.0752,-159.319,82.72,79,75,1.99,light rain
39,Cape Town,ZA,-33.9258,18.4232,62.11,53,0,3.44,clear sky
40,Hasaki,JP,35.7333,140.8333,75.6,79,10,15.75,clear sky
41,Carballo,ES,43.213,-8.691,68.07,88,62,2.91,broken clouds
42,Tongchuan,CN,35.0806,109.0897,74.89,71,78,2.35,light rain
43,Butaritari,KI,3.0707,172.7902,82.08,74,92,11.12,moderate rain
44,Teeli,RU,51.0333,90.2333,59.18,75,99,2.26,overcast clouds
45,Yellowknife,CA,62.456,-114.3525,63.32,51,20,3.0,few clouds
46,Salalah,OM,17.0151,54.0924,78.89,89,75,8.05,broken clouds
47,Lagoa,PT,39.05,-27.9833,70.23,77,100,12.28,overcast clouds
48,Ballina,AU,-28.8667,153.5667,46.78,63,0,6.62,clear sky
49,Bredasdorp,ZA,-34.5322,20.0403,45.72,93,100,3.44,overcast clouds
50,Maniitsoq,GL,65.4167,-52.9,45.93,73,100,8.79,overcast clouds
51,Geraldton,AU,-28.7667,114.6,46.81,93,0,12.66,clear sky
52,Lebu,CL,-37.6167,-73.65,52.11,88,39,12.1,scattered clouds
53,Georgetown,MY,5.4112,100.3354,83.89,85,20,2.3,few clouds
54,Yulara,AU,-25.2406,130.9889,46.24,61,5,5.75,clear sky
55,Joensuu,FI,62.6012,29.7632,63.27,68,0,4.61,clear sky
56,Carnarvon,AU,-24.8667,113.6333,51.87,74,0,6.91,clear sky
57,Klaksvik,FO,62.2266,-6.589,52.72,94,100,10.04,overcast clouds
58,Kulunda,RU,52.566,78.9385,70.5,54,18,6.98,light rain
59,Kudahuvadhoo,MV,2.6708,72.8944,81.28,76,84,11.61,broken clouds
60,Sola,VU,-13.8833,167.55,79.88,80,55,9.82,broken clouds
61,Maragogi,BR,-9.0122,-35.2225,74.55,86,19,13.42,few clouds
62,Chuy,UY,-33.6971,-53.4616,66.07,85,1,5.59,clear sky
63,Vaini,TO,-21.2,-175.2,75.47,83,71,4.83,broken clouds
64,Kruisfontein,ZA,-34.0033,24.7314,54.28,37,70,5.91,broken clouds
65,Isangel,VU,-19.55,169.2667,75.0,87,100,12.8,overcast clouds
66,Orocue,CO,4.7912,-71.3354,84.38,61,79,7.96,broken clouds
67,Broken Hill,AU,-31.95,141.4333,46.96,81,3,11.36,clear sky
68,Puerto Madryn,AR,-42.7692,-65.0385,52.43,36,91,21.85,overcast clouds
69,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,20,11.5,few clouds
70,Atuona,PF,-9.8,-139.0333,77.97,69,68,22.95,broken clouds
71,Havre-Saint-Pierre,CA,50.2334,-63.5986,73.76,60,1,13.8,clear sky
72,Hamilton,US,39.1834,-84.5333,91.22,67,40,1.01,scattered clouds
73,Avarua,CK,-21.2078,-159.775,75.25,88,40,4.61,scattered clouds
74,Aland,IN,17.5667,76.5667,74.23,88,30,16.73,scattered clouds
75,Dikson,RU,73.5069,80.5464,39.42,85,100,14.88,overcast clouds
76,Albany,US,42.6001,-73.9662,84.67,75,60,1.99,broken clouds
77,Esperance,AU,-33.8667,121.9,52.84,86,2,17.6,clear sky
78,Bengkulu,ID,-3.8004,102.2655,74.48,86,2,5.41,clear sky
79,Bilibino,RU,68.0546,166.4372,48.81,67,42,4.0,scattered clouds
80,Mantua,IT,45.1667,10.7833,82.72,75,100,7.0,overcast clouds
81,Basco,PH,20.4487,121.9702,82.92,88,97,30.22,light rain
82,Poli,TZ,-3.3333,36.8,55.42,62,14,7.25,few clouds
83,Amalapuram,IN,16.5833,82.0167,81.27,82,70,4.43,broken clouds
84,Tasiilaq,GL,65.6145,-37.6368,48.36,85,50,5.26,scattered clouds
85,Atkarsk,RU,51.8718,45.0078,58.21,67,6,2.46,clear sky
86,Tuy Hoa,VN,13.0833,109.3,81.7,64,92,16.93,overcast clouds
87,Hithadhoo,MV,-0.6,73.0833,80.6,75,87,4.0,light rain
88,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,68,0,15.48,clear sky
89,Narasannapeta,IN,18.4167,84.05,82.71,76,100,6.71,overcast clouds
90,Antalaha,MG,-14.9003,50.2788,65.3,84,76,7.7,broken clouds
91,Ostrovnoy,RU,68.0531,39.5131,45.79,90,100,16.26,overcast clouds
92,Kununurra,AU,-15.7667,128.7333,58.98,82,99,3.44,overcast clouds
93,Norman Wells,CA,65.282,-126.8329,69.84,43,40,3.44,scattered clouds
94,Meulaboh,ID,4.1363,96.1285,76.95,87,97,3.76,overcast clouds
95,Gusau,NG,12.1628,6.6614,77.5,79,99,8.46,light rain
96,Stephenville,US,32.2207,-98.2023,99.77,33,1,4.61,clear sky
97,Srednekolymsk,RU,67.45,153.6833,42.1,70,100,16.24,overcast clouds
98,Gotha,DE,50.9482,10.7019,70.14,82,0,4.61,clear sky
99,Barrow,US,71.2906,-156.7887,44.62,92,90,12.66,overcast clouds
100,Jamestown,US,42.097,-79.2353,85.32,54,20,9.22,few clouds
101,Acarau,BR,-2.8856,-40.12,82.33,63,12,17.31,few clouds
102,Marsh Harbour,BS,26.5412,-77.0636,83.75,71,98,10.87,overcast clouds
103,Port Macquarie,AU,-31.4333,152.9167,51.76,63,0,6.53,clear sky
104,Hermanus,ZA,-34.4187,19.2345,61.9,53,100,9.73,overcast clouds
105,Beringovskiy,RU,63.05,179.3167,51.76,90,100,1.61,overcast clouds
106,Qaanaaq,GL,77.484,-69.3632,40.53,71,80,5.68,broken clouds
107,Verkhnyaya Inta,RU,65.9811,60.3094,47.48,94,100,12.39,overcast clouds
108,Tucuma,BR,-0.1833,-50.05,86.36,60,57,8.12,broken clouds
109,Kaitangata,NZ,-46.2817,169.8464,48.92,72,100,3.02,overcast clouds
110,Avera,US,33.194,-82.5271,91.45,50,84,4.41,broken clouds
111,Atar,MR,20.5169,-13.0499,104.85,13,97,1.34,overcast clouds
112,Mezen,RU,65.8522,44.24,46.56,81,100,6.89,overcast clouds
113,Broome,US,42.2506,-75.833,85.69,64,40,3.0,scattered clouds
114,Kavaratti,IN,10.5669,72.642,81.0,79,100,21.61,overcast clouds
115,Victoria,HK,22.2855,114.1577,86.38,84,16,1.01,few clouds
116,Yeppoon,AU,-23.1333,150.7333,42.58,50,0,5.26,clear sky
117,Constitucion,CL,-35.3333,-72.4167,53.65,86,26,9.13,scattered clouds
118,Chokurdakh,RU,70.6333,147.9167,41.11,67,1,9.71,clear sky
119,Waterloo,CA,43.4668,-80.5164,87.31,51,20,8.01,few clouds
120,Vao,NC,-22.6667,167.4833,71.38,70,54,15.75,broken clouds
121,Ciceu-Giurgesti,RO,47.25,24.0167,72.0,62,76,4.14,broken clouds
122,Tanout,NE,14.9709,8.8879,90.9,43,94,17.63,overcast clouds
123,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,100,20,4.47,few clouds
124,Mbini,GQ,1.574,9.6134,76.37,84,97,7.36,overcast clouds
125,Laviana,ES,43.2333,-5.5333,63.91,96,98,2.13,overcast clouds
126,Karratha,AU,-20.7377,116.8463,69.03,48,55,5.95,broken clouds
127,Usinsk,RU,65.9939,57.5281,46.35,93,100,10.16,overcast clouds
128,Vaitape,PF,-16.5167,-151.75,78.03,66,0,12.73,clear sky
129,Vuktyl,RU,63.8567,57.3094,50.36,76,99,4.97,overcast clouds
130,Talara,PE,-4.5772,-81.2719,75.96,78,0,13.8,clear sky
131,Sayat,TM,38.7839,63.8803,93.07,13,0,22.88,clear sky
132,Khatanga,RU,71.9667,102.5,48.83,87,43,6.46,scattered clouds
133,Kutum,SD,14.2,24.6667,72.09,73,100,9.71,overcast clouds
134,Finschhafen,PG,-6.6024,147.8681,77.77,84,100,7.49,light rain
135,Itaituba,BR,-4.2761,-55.9836,95.16,49,40,5.75,scattered clouds
136,Malindi,KE,-3.2175,40.1191,75.2,76,19,21.16,few clouds
137,Pedernales,DO,18.0384,-71.744,83.39,74,71,8.08,broken clouds
138,Mahebourg,MU,-20.4081,57.7,70.09,64,20,11.5,few clouds
139,Tuatapere,NZ,-46.1333,167.6833,46.81,95,100,4.74,moderate rain
140,Gambiran,ID,-6.7988,111.4951,68.56,84,20,4.9,few clouds
141,Russell,US,32.3502,-85.1999,91.9,36,88,1.39,overcast clouds
142,Olinda,BR,-8.0089,-34.8553,73.13,83,75,0.0,broken clouds
143,Vardo,NO,70.3705,31.1107,46.6,93,75,16.11,drizzle
144,Tavda,RU,58.0425,65.2726,55.87,57,100,6.17,overcast clouds
145,Luanda,AO,-8.8368,13.2343,70.38,87,5,10.74,clear sky
146,Warrensburg,US,38.7628,-93.7361,91.29,70,1,3.0,clear sky
147,Mpanda,TZ,-6.3655,31.0409,63.39,55,8,7.14,clear sky
148,Airai,TL,-8.9266,125.4092,55.85,52,76,3.22,broken clouds
149,Eirunepe,BR,-6.6603,-69.8736,89.15,50,89,0.89,overcast clouds
150,Gaoual,GN,11.75,-13.2,76.03,93,100,4.14,light rain
151,Port Blair,IN,11.6667,92.75,82.17,86,100,16.6,overcast clouds
152,Poum,NC,-20.2333,164.0167,72.32,78,1,17.25,clear sky
153,Minot,US,48.2325,-101.2963,94.19,17,1,9.22,haze
154,Talnakh,RU,69.4865,88.3972,55.8,93,100,4.88,overcast clouds
155,Kodiak,US,57.79,-152.4072,51.31,87,90,5.75,fog
156,Mehamn,NO,71.0357,27.8492,46.58,81,75,11.5,broken clouds
157,Takoradi,GH,4.8845,-1.7554,75.42,78,22,9.08,few clouds
158,Dingle,PH,10.9995,122.6711,77.14,89,34,9.69,light rain
159,Pachino,IT,36.7186,15.0907,84.6,56,0,9.17,clear sky
160,Zhigansk,RU,66.7697,123.3711,58.62,66,38,8.61,scattered clouds
161,Oriximina,BR,-1.7656,-55.8661,91.62,38,100,6.62,overcast clouds
162,Hovd,MN,48.0056,91.6419,65.61,58,45,3.53,scattered clouds
163,Urengoy,RU,65.9667,78.3667,58.71,80,100,5.86,overcast clouds
164,Biak,ID,-0.9131,122.8766,74.55,83,65,5.61,broken clouds
165,Izberbash,RU,42.5696,47.8645,77.09,70,0,4.03,clear sky
166,Puerto Narino,CO,-3.7703,-70.3831,87.75,64,100,3.2,overcast clouds
167,Merritt,CA,50.1123,-120.7942,85.39,27,0,9.78,clear sky
168,Tazovskiy,RU,67.4667,78.7,52.34,79,100,7.02,overcast clouds
169,Kloulklubed,PW,7.0419,134.2556,83.89,74,100,17.63,overcast clouds
170,Cherskiy,RU,68.75,161.3,45.93,63,23,7.2,few clouds
171,Isabela,PH,6.7085,121.9711,78.44,85,97,4.25,overcast clouds
172,Henties Bay,NA,-22.116,14.2845,70.32,34,51,9.4,broken clouds
173,Mingaora,PK,34.7758,72.3625,81.54,66,3,4.34,clear sky
174,Saint George,US,37.1041,-113.5841,96.39,33,1,4.0,clear sky
175,Aberdeen,GB,57.1437,-2.0981,64.89,88,90,6.91,overcast clouds
176,Temyasovo,RU,52.9933,58.1014,53.96,71,0,4.43,clear sky
177,Trairi,BR,-3.2778,-39.2689,80.28,68,17,12.71,few clouds
178,Kampong Thum,KH,12.7111,104.8887,73.89,91,99,2.17,overcast clouds
179,Harrogate,GB,53.9908,-1.5373,67.46,57,40,1.99,scattered clouds
180,Kayerkan,RU,69.3497,87.7602,53.83,94,100,3.83,overcast clouds
181,Nelson Bay,AU,-32.7167,152.15,53.1,68,0,3.0,clear sky
182,Touros,BR,-5.1989,-35.4608,79.7,73,7,14.94,clear sky
183,Mizan Teferi,ET,6.9833,35.5833,58.73,97,100,2.66,overcast clouds
184,Bathsheba,BB,13.2167,-59.5167,84.81,79,20,11.5,few clouds
185,Saldanha,ZA,-33.0117,17.9442,53.65,50,100,12.41,overcast clouds
186,Rupert,US,42.6191,-113.6772,87.69,23,1,9.22,clear sky
187,San Quintin,MX,30.4833,-115.95,68.38,84,100,9.06,overcast clouds
188,Bukan,IR,36.521,46.2089,81.59,24,0,4.0,clear sky
189,Ponazyrevo,RU,58.3578,46.3142,55.17,70,89,4.29,overcast clouds
190,Wanxian,CN,30.8039,108.3897,77.14,85,1,1.28,clear sky
191,Hilo,US,19.7297,-155.09,82.62,85,90,3.44,moderate rain
192,Orchard Homes,US,46.8633,-114.0484,90.59,23,1,1.01,haze
193,Alta Floresta,BR,-9.8756,-56.0861,93.02,31,20,2.3,few clouds
194,Dongsheng,CN,39.8161,109.9776,69.58,75,100,12.06,moderate rain
195,Pevek,RU,69.7008,170.3133,34.88,91,100,8.63,overcast clouds
196,Jurilovca,RO,44.7667,28.8667,70.03,61,0,3.87,clear sky
197,Severo-Kurilsk,RU,50.6789,156.125,55.06,97,86,3.8,overcast clouds
198,Paamiut,GL,61.994,-49.6678,44.29,73,82,5.59,broken clouds
199,Provideniya,RU,64.3833,-173.3,46.51,100,90,6.71,moderate rain
200,Port Lincoln,AU,-34.7333,135.8667,55.89,82,100,18.57,overcast clouds
201,Nioro,GM,13.35,-15.75,80.73,66,100,9.28,overcast clouds
202,Mabaruma,GY,8.2,-59.7833,73.78,98,100,2.44,overcast clouds
203,Palmer,US,42.1584,-72.3287,77.47,78,100,1.01,overcast clouds
204,Lorengau,PG,-2.0226,147.2712,78.66,83,100,8.66,overcast clouds
205,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,94,75,11.81,broken clouds
206,Beidao,CN,34.5686,105.8933,70.07,90,100,3.04,light rain
207,College,US,64.8569,-147.8028,65.59,57,75,5.75,broken clouds
208,Gisors,FR,49.2818,1.7801,67.6,95,25,6.89,scattered clouds
209,Udomlya,RU,57.8794,34.9925,56.8,72,38,2.93,scattered clouds
210,Mustasaari,FI,63.1142,21.6822,65.89,77,0,2.3,clear sky
211,Xai-Xai,MZ,-25.0519,33.6442,61.18,75,22,6.38,few clouds
212,Seymchan,RU,62.8833,152.4333,57.92,95,100,6.91,light rain
213,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,36,11.92,scattered clouds
214,Ulladulla,AU,-35.35,150.4667,55.09,63,4,12.55,clear sky
215,Itarema,BR,-2.9248,-39.9167,81.09,65,23,16.33,few clouds
216,Cururupu,BR,-1.8283,-44.8683,83.26,66,71,3.96,broken clouds
217,Buenos Aires,AR,-34.6132,-58.3772,58.73,91,90,5.75,overcast clouds
218,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,broken clouds
219,Taoudenni,ML,22.6783,-3.9836,106.21,5,47,10.92,scattered clouds
220,Oyama,JP,36.3,139.8,80.04,78,98,4.47,overcast clouds
221,Verkhnyaya Balkariya,RU,43.1279,43.4573,63.52,90,68,2.01,broken clouds
222,Cap Malheureux,MU,-19.9842,57.6142,70.29,62,5,5.99,clear sky
223,Eyl,SO,7.9803,49.8164,77.2,70,4,21.63,clear sky
224,Belmonte,BR,-15.8631,-38.8828,71.6,81,71,10.51,broken clouds
225,Mirnyy,RU,62.5353,113.9611,61.84,63,20,3.22,few clouds
226,Dalbandin,PK,28.8947,64.4101,97.11,10,12,5.73,few clouds
227,Khandyga,RU,62.6667,135.6,56.57,94,63,2.66,broken clouds
228,Bud,US,39.447,-86.1758,88.21,74,35,3.22,scattered clouds
229,Powell River,CA,49.8496,-124.5361,82.04,60,20,6.91,few clouds
230,Naryan-Mar,RU,67.6713,53.087,40.71,88,46,12.93,scattered clouds
231,Contamana,PE,-7.3333,-75.0167,95.63,30,67,1.21,broken clouds
232,Am Timan,TD,11.0297,20.2827,73.89,81,100,4.74,overcast clouds
233,La Ronge,CA,55.1001,-105.2842,71.82,46,75,9.22,broken clouds
234,Staszow,PL,50.5631,21.1659,70.7,66,84,8.88,broken clouds
235,Ndele,CF,8.4109,20.6473,71.58,97,100,4.18,light rain
236,Okmulgee,US,35.6234,-95.9605,99.32,44,1,6.91,clear sky
237,Oistins,BB,13.0667,-59.5333,84.29,79,20,11.5,few clouds
238,Tammisaari,FI,59.9736,23.4339,69.73,76,14,5.88,few clouds
239,Manadhoo,MV,5.7667,73.3833,81.91,78,100,18.99,overcast clouds
240,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,68,0,18.41,clear sky
241,Ola,RU,59.5833,151.2833,54.01,95,100,4.43,light rain
242,Maceio,BR,-9.6658,-35.7353,72.84,94,75,5.75,broken clouds
243,Khislavichi,RU,54.1871,32.1582,62.51,75,18,4.21,few clouds
244,Nizhniy Kuranakh,RU,58.8353,125.4869,58.57,87,98,1.66,overcast clouds
245,Hyeres,FR,43.1167,6.1167,79.48,55,0,3.44,clear sky
